시간,더불어민주당 합계,국민의힘 오세훈,표차,우세정당,변동폭
06:43:16,2326695,2300000,26695,더불어민주당,최초 측정
06:44:26,2325912,2300000,25912,더불어민주당,-783 표
06:51:27,2326681,2300000,26681,더불어민주당,+769 표
06:58:27,2326683,2300000,26683,더불어민주당,+2 표
06:59:37,2319089,2300000,19089,더불어민주당,"-7,594 표"
07:00:47,2311234,2300000,11234,더불어민주당,"-7,855 표"
07:01:58,2309746,2300000,9746,더불어민주당,"-1,488 표"
07:05:29,2306917,2300000,6917,더불어민주당,"-2,829 표"
07:06:39,2305158,2300000,5158,더불어민주당,"-1,759 표"
07:08:59,2304059,2300000,4059,더불어민주당,"-1,099 표"
07:13:41,2304054,2300000,4054,더불어민주당,-5 표
07:14:51,2304048,2300000,4048,더불어민주당,-6 표
07:17:12,2300000,2302069,2069,국민의힘,🔄 역전 발생!
07:18:22,2300000,2302676,2676,국민의힘,+607 표
07:20:42,2300000,2304673,4673,국민의힘,"+1,997 표"
07:25:23,2300000,2304675,4675,국민의힘,+2 표
07:28:54,2300000,2304672,4672,국민의힘,-3 표
07:31:14,2300000,2305839,5839,국민의힘,"+1,167 표"
07:32:24,2300000,2306221,6221,국민의힘,+382 표
07:33:35,2300000,2308459,8459,국민의힘,"+2,238 표"
07:39:32,2414816,2426543,11727,국민의힘,"+3,268 표"
07:44:19,2420960,2436821,15861,국민의힘,"+4,134 표"
07:50:11,2426575,2439786,13211,국민의힘,"-2,650 표"
07:55:13,2432634,2445783,13149,국민의힘,-62 표
08:12:54,2435234,2450157,14923,국민의힘,"+1,774 표"
